ID,Description,Entry_ID,Media_IDs
SN001394,"dropped, escaped, ran away (masc sg)",LX001346,
SN001395,plain or flat area,LX001347,
SN001396,to find,LX001348,
SN001397,big stick,LX001349,
SN001398,"to let off, let fall, drop",LX001350,
SN001399,"to be found, exist",LX001351,
SN001400,"dropped, escaped, ran away (fem sg)",LX001352,
SN001401,dry plaster,LX001353,
SN001402,bald; the bald one,LX001354,
SN001403,"to trim, cut (hair)",LX001355,
SN001404,with little hair or fur; barren,LX001356,
SN001405,redness,LX001357,
SN001406,to make red (by beating),LX001358,
SN001407,red; money (substantivized in plural; i.e. red like the 100 rupee note),LX001359,
SN001408,uncle; father's younger brother,LX001360,
SN001409,younger; the younger one,LX001361,
SN001410,small; (small) child,LX001362,
SN001411,aunt; mother's younger sister; father's younger brother's wife,LX001363,
SN001412,salt,LX001364,
SN001413,salty,LX001365,
SN001414,he; she; it; there (dist obl),LX001366,
SN001415,"dribble, saliva",LX001367,
SN001416,breadspade; ashspade,LX001368,
SN001417,to lick,LX001369,
SN001418,rib,LX001370,
SN001419,to suit; get close,LX001371,
SN001420,"to close, put together",LX001372,
SN001421,that (agr: dist nom masc sg),lo_1,
SN001422,it ; he (dist masc nom),lo_2,
SN001423,proud,LX001373,
SN001424,"small tree, sapling",LX001374,
SN001425,Lokuli (hamlet in upper Ashret Valley),LX001375,
SN001426,"deodar tree (Himalayan cedar); very tall tree growing on high altitudes, usually far from permanent settlements, its wood is used for construction",LX001376,
SN001427,bowl,LX001377,
SN001428,Lotangha (hamlet in lower Ashret Valley),LX001378,
SN001429,"to wind up, roll up",LX001379,
SN001430,pheasant,LX001380,
SN001431,"to reap, cut, cut off; mow",LX001381,
SN001432,all night (long),LX001382,
SN001433,fox,LX001383,
SN001434,male fox,LX001384,
SN001435,reaped (masc sg),LX001385,
SN001436,new; fresh; soft,LX001386,
SN001437,"ball of yarn, etc.",LX001387,
SN001438,strange (person); non-related,LX001388,
SN001439,Plural suffix (with m-declension nouns),-m,
SN001440,"I (1sg nom, subject), me (1sg direct object)",ma,
SN001441,match,LX001389,
SN001442,honey bee,LX001390,
SN001443,stomach,LX001391,
SN001444,"mother tongue, native language",LX001392,
SN001445,excuse,LX001393,
SN001446,to forgive,LX001394,
SN001447,monkey,LX001395,
SN001448,"rich, wealthy",LX001396,
SN001449,gardener,LX001397,
SN001450,owner; employer; lord; ruler,LX001398,
SN001451,knowledge; realization,LX001399,
SN001452,information,LX001400,
SN001453,uncle; mother's brother,LX001401,
SN001454,uncle; mother's brother,LX001402,
SN001455,"a little; general, ordinary",LX001403,
SN001456,to knead,LX001404,
SN001457,to die,LX001405,
SN001458,early afternoon (appr. noon to 2 pm),LX001406,
SN001459,innocent (child),LX001407,
SN001460,teacher,LX001408,
SN001461,"me; to me, for me",LX001409,
SN001462,brain,LX001410,
SN001463,neck,LX001411,
SN001464,evening (appr. 6 to 7 pm),LX001412,
SN001465,late afternoon (appr. 4 to 6 pm),LX001413,
SN001466,Machoke (ancestor of the people of Ashret),LX001414,
SN001467,help,LX001415,
SN001468,to help,LX001416,
SN001469,fugitive,LX001417,
SN001470,brideprice,LX001418,
SN001471,relating to field,LX001419,
SN001472,field,LX001420,
SN001473,necessity,LX001421,
SN001474,"in, inside; among, between; during",LX001422,
SN001475,"middle, the middle one",LX001423,
SN001476,cunning; cunning behaviour,LX001424,
SN001477,"cunning, clever",LX001425,
SN001478,goats,mal,
SN001479,"leader; elder, headman",LX001426,
SN001480,"to apply, spread onto, mix",LX001427,
SN001481,applied (masc sg),LX001428,
SN001482,"companion, friend",LX001429,
SN001483,to accompany,LX001430,
SN001484,"to tell sb to stop, forbid; warn",LX001431,
SN001485,it has been said; we have been told; apparently,LX001432,
SN001486,"to say, call; read, recite; obey",LX001433,
SN001487,"said, called (masc sg)",LX001434,
SN001488,planning,LX001435,
SN001489,water pot,LX001436,
SN001490,veranda; gallery,LX001437,
SN001491,death,marg,
SN001492,"machine, device",LX001438,
SN001493,consultation,LX001439,
SN001494,nape,LX001440,
SN001495,to churn (esp. by shaking),LX001441,
SN001496,sweets,LX001442,
SN001497,frog,LX001443,
SN001498,present; existing,LX001444,
SN001499,"current, present-day; present-time",LX001445,
SN001500,"forward, in the front; first; in front of",LX001446,
SN001501,"creature, living being",LX001447,
SN001502,"creature, living being",LX001448,
SN001503,strong,LX001449,
SN001504,"religion, faith (especially Islam)",LX001450,
SN001505,but; however,LX001451,
SN001506,but; however,LX001452,
SN001507,honey,LX001453,
SN001508,"in the middle; in between, among",LX001454,
SN001509,festival,LX001455,
SN001510,flour pile; finegrained sand,LX001456,
SN001511,hospitality,LX001457,
SN001512,grandmother; mother's mother,LX001458,
SN001513,aunt; mother's sister,LX001459,
SN001514,Methil (field in Ashret Valley),LX001460,
SN001515,clay; mud,LX001461,
SN001516,of clay,LX001462,
SN001517,fruit,LX001463,
SN001518,nail,LX001464,
SN001519,table,LX001465,
SN001520,gathering,LX001466,
SN001521,guest,LX001467,
SN001522,"effort, hard work, labour",LX001468,
SN001523,"to make an effort, work hard",LX001469,
SN001524,to wrestle,LX001470,
SN001525,father; parent,LX001471,
SN001526,to kill,LX001472,
SN001527,mulberry,LX001473,
SN001528,"meat, piece of flesh",LX001474,
SN001529,buttermilk (lassi),LX001475,
SN001530,mother (esp. of animals),LX001476,
SN001531,"thank, thanks",LX001477,
SN001532,kindly,LX001478,
SN001533,sweet; tasty,LX001479,
SN001534,my (1sg gen),LX001480,
SN001535,marrow; animal fat,LX001481,
SN001536,"I (1sg erg, transitive subject in the perfective)",LX001482,
SN001537,mile; kilometre,LX001483,
SN001538,man; person,LX001484,
SN001539,"to argue, fight, quarrel",LX001485,
SN001540,joined; met,LX001486,
SN001541,"to meet, find, come across, receive",LX001487,
SN001542,"to mix in, add",LX001488,
SN001543,Mingal (village in Biori Valley); Lower Biori,LX001489,
SN001544,ram,LX001490,
SN001545,Mirmahdikor; descendant of Mir Mahdi; member of the Mirmadikor clan (in Ashret),LX001491,
SN001546,example,LX001492,
SN001547,mason,LX001493,
SN001548,blood-brother (kidney-brother); close friend,mitr,
SN001549,meeting,LX001494,
SN001550,"blunt, pointless",LX001495,
SN001551,mother's brother's wife,LX001496,
SN001552,grandfather; mother's father,LX001497,
SN001553,skin bag (from goat skin); balloon,LX001498,
SN001554,nest,LX001499,
SN001555,"person, human being",LX001500,
SN001556,"opportunity, occasion",LX001501,
SN001557,weather,LX001502,
SN001558,uncle; mother's sister's husband,LX001503,
SN001559,"part, piece; edge, side, corner",LX001504,
SN001560,car,LX001505,
SN001561,markhor (generic),mring,
SN001562,agreement,LX001506,
SN001563,mobile phone,LX001507,
SN001564,to rain,LX001508,
SN001565,"to open, untie",LX001509,
SN001566,guard (royal),LX001510,
SN001567,love,LX001511,
SN001568,"to love, show affection",LX001512,
SN001569,complete,LX001513,
SN001570,Mullahkor; descendant of Mullah Talab; member of the Mullahkor clan (in Ashret),LX001514,
SN001571,"meeting, encountering",LX001515,
SN001572,"to encounter, meet",LX001516,
SN001573,"to meet (on purpose), come together",LX001517,
SN001574,radish,LX001518,
SN001575,mullahs; religious scholars (irr plural),LX001519,
SN001576,mullah; religious scholar,LX001520,
SN001577,superior,LX001521,
SN001578,pea; bean,mung,
SN001579,contest,LX001522,
SN001580,to compete,LX001523,
SN001581,fixed; appointed,LX001524,
SN001582,to be appointed,LX001525,
SN001583,"to fix (a date, etc.)",LX001526,
SN001584,"dead person, corpse",LX001527,
SN001585,died (masc sg),LX001528,
SN001586,traveler,LX001529,
SN001587,"trouble, difficulty",LX001530,
SN001588,"hard, difficult",LX001531,
SN001589,busy,LX001532,
SN001590,"to talk freely, get on well with",LX001533,
SN001591,"crack, mouse (or snake) hole",LX001534,
SN001592,fist; shaft,LX001535,
SN001593,of the past,LX001536,
SN001594,front leg (of animal),LX001537,
SN001595,"forward; before, first",LX001538,
SN001596,"in front, ahead",LX001539,
SN001597,"of the past, olden",LX001540,
SN001598,"corresponding, suitable; in likeness",LX001541,
SN001599,rained (masc sg),LX001542,
SN001600,tree,LX001543,
SN001601,arm,LX001544,
SN001602,"price, value",LX001545,
SN001603,lap,LX001546,
SN001604,mouse,LX001547,
SN001605,elbow,LX001548,
SN001606,mouse; rat,LX001549,
SN001607,urine,LX001550,
SN001608,to urinate,LX001551,
SN001609,face,mux,
SN001610,"opposite; face to face, in front of",LX001552,
SN001611,mirror,LX001553,
SN001612,in somebody's face,LX001554,
SN001613,"in front, ahead",LX001555,
SN001614,different; opposite,LX001556,
SN001615,not; don't,na_1,
SN001616,no!,na_2,
SN001617,neither ... nor,LX001557,
SN001618,neither ... nor,LX001558,
SN001619,"failed, useless",LX001559,
SN001620,barefoot,LX001560,
SN001621,"to get down, sink",LX001561,
SN001622,"to bow (down), lower, take down",LX001562,
SN001623,naked,LX001563,
SN001624,stream,LX001564,
SN001625,"Narey (village in Kunar Valley, across the Afghan border)",LX001565,
SN001626,nose,LX001566,
SN001627,to dance,LX001567,
SN001628,dangerous; difficult,LX001568,
SN001629,new,LX001569,
SN001630,suddenly,LX001570,
SN001631,"are not, do not exist (masc pl)",LX001571,
SN001632,"is not, does not exist (fem sg)",LX001572,
SN001633,"is not, does not exist (masc sg)",LX001573,
SN001634,"copy, imitation",LX001574,
SN001635,"to copy, imitate",LX001575,
SN001636,chicken throat,LX001576,
SN001637,lineage; kin group,LX001577,
SN001638,nostril,LX001578,
SN001639,bullet,LX001579,
SN001640,prince (esp. with reference to the ruler of Dir),LX001580,
SN001641,month of November,LX001581,
SN001642,please!,LX001582,
SN001643,hunt,LX001583,
SN001644,to go hunting,LX001584,
SN001645,brook,LX001585,
SN001646,root,LX001586,
SN001647,new (fem),LX001587,
SN001648,isn't it? right?,LX001588,
SN001649,"near, near by",LX001589,
SN001650,to bring closer,LX001590,
SN001651,"to approach, come close",LX001591,
SN001652,to calm down,LX001592,
SN001653,this (agr: prox fem / prox non-nom masc),ni_1,
SN001654,these (agr: prox),ni_2,
SN001655,it; she (prox fem nom),ni_3,
SN001656,they (prox nom),ni_4,
SN001657,"to shear (wool), shave",LX001593,
SN001658,he; she; it; here (prox obl),LX001594,
SN001659,"green, blue",LX001595,
SN001660,sleep,LX001596,
SN001661,to feel sleepy,LX001597,
SN001662,to fall asleep,LX001598,
SN001663,to shut (one's eyes),LX001599,
SN001664,vine,LX001600,
SN001665,"to falter, go off",LX001601,
SN001666,"to blow out, put out (a fire)",LX001602,
SN001667,faltered (masc sg),LX001603,
SN001668,since,LX001604,
SN001669,came out; appeared (masc sg),LX001605,
SN001670,came out; appeared (fem sg),LX001606,
SN001671,to come out; appear; happen,LX001607,
SN001672,henna,LX001608,
SN001673,half foot (measure),LX001609,
SN001674,half a quarter,LX001610,
SN001675,prayer,LX001611,
SN001676,to pray,LX001612,
SN001677,them (prox acc),LX001613,
SN001678,their (prox),LX001614,
SN001679,they (prox obl),LX001615,
SN001680,"traditional cheese, similar to čoónɡ but sweeter, made from the remaining liquid when making čhoót",LX001616,
SN001681,it; him; her; this one (prox acc),nis,
SN001682,his; her; its (prox),LX001617,
SN001683,"indications, signs",LX001618,
SN001684,"sign, mark; mole",LX001619,
SN001685,to write,LX001620,
SN001686,beak,LX001621,
SN001687,name,LX001622,
SN001688,"employment, job",LX001623,
SN001689,"to work, to be employed, carry out a job",LX001624,
SN001690,finger-nail,LX001625,
SN001691,vein,LX001626,
SN001692,canal; inlet; flume,LX001627,
SN001693,it; he; this one (prox masc nom),nu_2,
SN001694,this (agr: prox nom masc),nu_1,
SN001695,all nine; the nine,LX001628,
SN001696,ninth,LX001629,
SN001697,damage,LX001630,
SN001698,"to harm, disturbe, make trouble for",LX001631,
SN001699,nine,LX001632,
SN001700,"to return, turn back",LX001633,
SN001701,to turn (sth) around,LX001634,
SN001702,popcorn (locally made),LX001635,
SN001703,oh! wow!,LX001636,
SN001704,yes!,LX001637,
SN001705,Expression used when addressing a person or attracting sb's attention,LX001638,
SN001706,and,LX001639,
SN001707,Third person singular suffix (with a-ending verb stems),LX001640,
SN001708,Rarely occurring suffix with ablative function,-oo,
SN001709,shady side,LX001641,
SN001710,flood,LX001642,
SN001711,Imperative plural suffix (with a- and e-ending verb stems),LX001643,
SN001712,Imperative plural suffix,-ooi,
SN001713,Perfective suffix (with a-ending L-verbs followed by a masculine agreement suffix),LX001644,
SN001714,"to watch, guard",LX001645,
SN001715,"Oblique plural suffix (with aan-declension nouns, and with accent-shifting a-declension nouns)",LX001646,
SN001716,Instrumental suffix (with accent-shifting a-declension nouns),LX001647,
SN001717,canal inlet,LX001648,
SN001718,unripe; raw,LX001649,
SN001719,Third person plural suffix (with a-ending verb stems),LX001650,
SN001720,and,LX001651,
SN001721,fragrance,LX001652,
SN001722,over here; on this side,LX001653,
SN001723,to here; to this side,LX001654,
SN001724,"unclean, destroyed, broken",LX001655,
SN001725,from here; from this side,LX001656,
SN001726,peach,LX001657,
SN001727,Second person singular suffix (with a-ending verb stems),LX001658,
SN001728,chicken; young (animal),LX001659,
SN001729,teacher; driver; master worker,LX001660,
SN001730,Second person plural suffix (with a-ending verb stems),LX001661,
SN001731,settlement in high pasture,LX001662,
SN001732,"to ripen, become cooked",LX001663,
SN001733,Thursday,LX001664,
SN001734,trouser leg,LX001665,
SN001735,clean; holy; clear,LX001666,
SN001736,Pakistan,LX001667,
SN001737,"ripened, became cooked (masc sg)",LX001668,
SN001738,"ripe, cooked (masc sg)",LX001669,
SN001739,to hide,LX001670,
SN001740,leaf,LX001671,
SN001741,(athletic) strongman,LX001672,
SN001742,strongmanship (the state of being a strongman),LX001673,
SN001743,"Palula; the language of the Palula, primarily spoken in the Ashret and Biori Valleys",LX001674,
SN001744,Palulo (person),LX001675,
SN001745,lamb's wool,LX001676,
SN001746,"path, road",LX001677,
SN001747,five,LX001678,
SN001748,one hundred (lit. five twenties),LX001679,
SN001749,clothes,LX001680,
SN001750,last year,LX001681,
SN001751,magician; healer,LX001682,
SN001752,"passed, completed (an examination, etc.)",LX001683,
SN001753,"to pass (an examination, etc.)",LX001684,
SN001754,to see; notice,LX001685,
SN001755,hoof,LX001686,
SN001756,"to defecate (about cows, etc.)",LX001687,
SN001757,"to trust, believe, imagine",LX001688,
SN001758,quarter (measure),LX001689,
SN001759,ouch!,LX001690,
SN001760,to cook,LX001691,
SN001761,"to rot, become rotten",LX001692,
SN001762,"rotten, spoiled",LX001693,
SN001763,"behind; later, then",LX001694,
SN001764,after,LX001695,
SN001765,born; come about,LX001696,
SN001766,"to be born; arise, come about",LX001697,
SN001767,to create,LX001698,
SN001768,"to fold, wrap, twist",LX001699,
SN001769,money; paisa (a copper coin),LX001700,
SN001770,Co-lexicalized intensifier,pak,
SN001771,"of use, necessary, needed",LX001701,
SN001772,"to be necessary, have a need for",LX001702,
SN001773,hid (masc sg),LX001703,
SN001774,four year old male goat,LX001704,
SN001775,"to steal, hide sth",LX001705,
SN001776,woolen,LX001706,
SN001777,shelter,LX001707,
SN001778,to ask for shelter,LX001708,
SN001779,"to give shelter, protect sb",LX001709,
SN001780,"for, (in order) to; because of",LX001710,
SN001781,paw,LX001711,
SN001782,all five; the five,LX001712,
SN001783,fifteenth,LX001713,
SN001784,fifteen,LX001714,
SN001785,fifth,LX001715,
SN001786,white,LX001716,
SN001787,whiteness,LX001717,
SN001788,village or clan elder,LX001718,
SN001789,"to make or paint white, rinse (corn)",LX001719,
SN001790,white (fem),LX001720,
SN001791,slipper (mughal style with pointed end),LX001721,
SN001792,suddenly,par,
SN001793,fried bread,LX001722,
SN001794,exam paper,LX001723,
SN001795,ancestor; forefather,LX001724,
SN001796,wound,LX001725,
SN001797,last year's,LX001726,
SN001798,sieve,LX001727,
SN001799,after,pas,
SN001800,to show,LX001728,
SN001801,to be seen,LX001729,
SN001802,knowledge; address,LX001730,
SN001803,bark (of tree),LX001731,
SN001804,enmity,LX001732,
SN001805,"to promise, entrust; make a sacrifice",LX001733,
SN001806,Patodham (hamlet in upper Ashret Valley),LX001734,
SN001807,"innermost corner (of a room or a house); closeness, familiarity",LX001735,
SN001808,behind; after,LX001736,
SN001809,back (direction),LX001737,
SN001810,behind; outside,LX001738,
SN001811,back (direction),LX001739,
SN001812,"to sway, wobble",LX001740,
SN001813,"to pull up, snatch away",LX001741,
SN001814,by oneself,LX001742,
SN001815,prophet; divine messenger,LX001743,
SN001816,"ripened, became cooked (fem sg)",LX001744,
SN001817,"ripe, cooked (fem sg)",LX001745,
SN001818,Pemdi (hamlet in upper Ashret Valley),LX001746,
SN001819,"djinn, fairy",LX001747,
SN001820,worried,LX001748,
SN001821,shirt,LX001749,
SN001822,regretful,LX001750,
SN001823,Peshawar (the provincial capital of Khyber-Pakhtunkhwa),LX001751,
SN001824,"to tear, break (apart), cut (into pieces)",LX001752,
SN001825,to swell,LX001753,
SN001826,"to break (by itself), burst, wear out",LX001754,
SN001827,lung,LX001755,
SN001828,across; on the other side,LX001756,
SN001829,to the other side,LX001757,
SN001830,there on the other side,LX001758,
SN001831,that thing over there (on the other side); over there (obl with postposition),LX001759,
SN001832,that far away over there (agr: dist nom masc sg),LX001760,
SN001833,from the other side,LX001761,
SN001834,wing; (large) feather,LX001762,
SN001835,butterfly,LX001763,
SN001836,boys (irr plural),LX001764,
SN001837,fig,LX001765,
SN001838,girl,LX001766,
SN001839,grain,LX001767,
SN001840,"sole, only",LX001768,
SN001841,"yonder, over there",LX001769,
SN001842,ahead,LX001770,
SN001843,"over there, yonder",LX001771,
SN001844,that over there (agr: dist nom masc sg),LX001772,
SN001845,"that one (he, it) over there",LX001773,
SN001846,"toward; along; over, across, through",LX001774,
SN001847,from some distance away,LX001775,
SN001848,"(some ways) forward, onward",LX001776,
SN001849,Co-lexicalized intensifier,LX001777,
SN001850,suddenly,phat,
SN001851,"to roll up (one's sleeves, etc.), pull up",LX001778,
SN001852,Phatako; descendent of Phatak; member of the Phatake clan (in Ashret),LX001779,
SN001853,to pluck (feathers or hair),LX001780,
SN001854,"to arrive, reach",LX001781,
SN001855,to bring (sth or sb); carry,LX001782,
SN001856,large wooden spade; shovel,LX001783,
SN001857,aunt; father's sister,LX001784,
SN001858,Ferima (hamlet in lower Ashret Valley),LX001785,
SN001859,"side; part of back, below shoulder-blade",LX001786,
SN001860,steam; vapour,LX001787,
SN001861,side of animal,LX001788,
SN001862,boy; son,LX001789,
SN001863,ploughshare,LX001790,
SN001864,care,LX001791,
SN001865,to take care of,LX001792,
SN001866,father's sister's husband,LX001793,
SN001867,to break,LX001794,
SN001868,to send (sb),LX001795,
SN001869,sent (masc sg),LX001796,
SN001870,moustache; whisker,LX001797,
SN001871,"vanished, gone",phus,
SN001872,"to disappear, vanish",LX001798,
SN001873,to get rid of,LX001799,
SN001874,mosquito,LX001800,
SN001875,fly,LX001801,
SN001876,edge; peak; top (of tree); blade,LX001802,
SN001877,to blow,LX001803,
SN001878,"to break (apart), crack",LX001804,
SN001879,by foot,LX001805,
SN001880,cup,LX001806,
SN001881,to slip,LX001807,
SN001882,to make sb slip; push,LX001808,
SN001883,slippery,LX001809,
SN001884,"to sweep, dust, clean, wipe; scratch (out)",LX001810,
SN001885,drank (masc sg),LX001811,
SN001886,pir (Sufi master); saint; spiritual guide,LX001812,
SN001887,to squeeze,LX001813,
SN001888,to grind,LX001814,
SN001889,snow flake,LX001815,
SN001890,to drink,LX001816,
SN001891,to make sb give sth to drink,LX001817,
SN001892,plate,LX001818,
SN001893,ant,LX001819,
SN001894,to make sb drink,LX001820,
SN001895,round,LX001821,
SN001896,calf (of leg),LX001822,
SN001897,the hot season; the 80 hottest days of the summer (appr. 21 Jun-10 Sep),LX001823,
SN001898,flower,LX001824,
SN001899,ground (masc sg),LX001825,
SN001900,sunny side,LX001826,
SN001901,uncle; father's brother; father's cousin,LX001827,
SN001902,"to close (door, window, etc.)",LX001828,
SN001903,to be ready to fight,LX001829,
SN001904,to step on,LX001830,
SN001905,"to pick off, pluck (fruit or vegetables)",LX001831,
SN001906,by piercing completely; all through,LX001832,
SN001907,fattened (goats),LX001833,
SN001908,dung (from domestic animals),LX001834,
SN001909,guest (male or generic),LX001835,
SN001910,light,LX001836,
SN001911,ribs,LX001837,
SN001912,slope,LX001838,
SN001913,sweat,LX001839,
SN001914,female guest,LX001840,
SN001915,"to throw out, pour (out); spill, shed (blood)",LX001841,
SN001916,wing,LX001842,
SN001917,mother-in-law; husband's or wife's mother,LX001843,
SN001918,flea,LX001844,
SN001919,programme,LX001845,
SN001920,police (as organization or individual representative),LX001846,
SN001921,policeman,LX001847,
SN001922,"full; detailed; complete, enough",LX001848,
SN001923,a full twenty,LX001849,
SN001924,to complete,LX001850,
SN001925,old (fem),LX001851,
SN001926,Puri (partly Palula-speaking village in Shishi Koh; aka Purigal or Pursat),LX001852,
SN001927,old,LX001853,
SN001928,hard rope or string used in string-beds,LX001854,
SN001929,cat,LX001855,
SN001930,"(walk) soundlessly, in a cat-like manner",LX001856,
SN001931,tom-cat,LX001857,
SN001932,son,putr,
SN001933,"to fill (up), be filled",LX001858,
SN001934,full,LX001859,
SN001935,"filled up, were filled (masc sg)",LX001860,
SN001936,"full, filled up",LX001861,
SN001937,"to fill, load",LX001862,
SN001938,skin,LX001863,
SN001939,granddaughter; son's daughter,LX001864,
SN001940,grandson; son's son,LX001865,
SN001941,famine,LX001866,
SN001942,clan; tribe,LX001867,
SN001943,"to agree to, admit",LX001868,
SN001944,grave,LX001869,
SN001945,antiquity; the distant past,LX001870,
SN001946,pen,LX001871,
SN001947,tax (specific kind of),LX001872,
SN001948,"approximately, about",LX001873,
SN001949,debt,LX001874,
SN001950,butcher,LX001875,
SN001951,"killing, murder",LX001876,
SN001952,"to kill, slay",LX001877,
SN001953,judgement,LX001878,
SN001954,"fort, fortress",LX001879,
SN001955,story,LX001880,
SN001956,to tell (a story),LX001881,
SN001957,"kind, way",LX001882,
SN001958,"tribe, clan; nation",LX001883,
SN001959,the Qur'an,LX001884,
SN001960,sacrifice,LX001885,
SN001961,rope,LX001886,
SN001962,ruler (of minor principality); prince,LX001887,
SN001963,high,LX001888,
SN001964,"to rise, climb",LX001889,
SN001965,"to raise, lift",LX001890,
SN001966,colour; paint; complexion,LX001891,
SN001967,to paint,LX001892,
SN001968,blood,LX001893,
SN001969,night (as a measure of time); 24-hour period,LX001894,
SN001970,of night (and day) periods,LX001895,
SN001971,upper lip area; the space between the mouth and the nose,LX001896,
SN001972,satisfied,LX001897,
SN001973,"to agree, consent",LX001898,
SN001974,early,LX001899,
SN001975,"Rais, a ruling dynasty in Chitral, or a ruler of that dynasty",LX001900,
SN001976,"small rope, string",LX001901,
SN001977,firmly,LX001902,
SN001978,the prophet Muhammad,LX001903,
SN001979,moving,LX001904,
SN001980,"to move, get going, set out",LX001905,
SN001981,fish,LX001906,
SN001982,desire,LX001907,
SN001983,footprint,LX001908,
SN001984,up; above; on top,LX001909,
SN001985,Rhalikot (site of ancient fort in Ashret),LX001910,
SN001986,song; music,LX001911,
SN001987,to sing,LX001912,
SN001988,morning,LX001913,
SN001989,the day tomorrow; morning,LX001914,
SN001990,tomorrow; in the future,LX001915,
SN001991,to weep,LX001916,
SN001992,goat track (in the mountains),LX001917,
SN001993,recording; record,LX001918,
SN001994,to record,LX001919,
SN001995,relationship,LX001920,
SN001996,"really, in truth; actually",LX001921,
SN001997,"custom, tradition",LX001922,
SN001998,"traditions, customs",LX001923,
SN001999,extra,LX001924,
SN002000,daily bread,LX001925,
SN002001,to become angry,LX001926,
SN002002,night (as opposed to day),LX001927,
SN002003,government official with special resposibility for the forest (in the past),LX001928,
SN002004,"witch, mythical forest woman",LX001929,
SN002005,rice,LX001930,
SN002006,handkerchief,LX001931,
SN002007,rupee (currency),LX001932,
SN002008,"power, influence",LX001933,
SN002009,wept (masc sg),LX001934,
SN002010,tear,LX001935,
SN002011,anger,LX001936,
SN002012,simple (person),LX001937,
SN002013,"things, stuff",LX001938,
SN002014,"like, equal to",LX001939,
SN002015,brother-in-law; a man's wife's sister's husband,LX001940,
SN002016,"lake, pond, puddle",LX001941,
SN002017,wilderness; desert,LX001942,
SN002018,sister-in-law; a man's wife's sister,LX001943,
SN002019,brother-in-law; a woman's sister's husband,LX001944,
SN002020,seven,LX001945,
SN002021,"to take care of, protect; manage",LX001946,
SN002022,"low (about building, etc.)",LX001947,
SN002023,"Sau (village in Kunar Valley, Afghanistan)",LX001948,
SN002024,healthy; whole,LX001949,
SN002025,to heal; be restored; become well; come to terms,LX001950,
SN002026,to build; to repair,LX001951,
SN002027,lesson,LX001952,
SN002028,patience,LX001953,
SN002029,"to exercise patience, be patient",LX001954,
SN002030,vegetables,LX001955,
SN002031,clean; clear,LX001956,
SN002032,to clean,LX001957,
SN002033,"trip, journey",LX001958,
SN002034,"time, a while",LX001959,
SN002035,"correct, accurate, true; fine",LX001960,
SN002036,"real (brother, sister, etc.)",LX001961,
SN002037,greeting,LX001962,
SN002038,to greet,LX001963,
SN002039,big pair of scissors,LX001964,
SN002040,equally,sam,
SN002041,"sea, ocean",LX001965,
SN002042,"to collect, gather, call together",LX001966,
SN002043,"to watch out, defend oneself",LX001967,
SN002044,"to build, put together, construct, design",LX001968,
SN002045,"(along) with; at, by; to",LX001969,
SN002046,buffalo bull,LX001970,
SN002047,buffalo marrow,LX001971,
SN002048,road,LX001972,
SN002049,to consider sth,LX001973,
SN002050,"to appear, seem",LX001974,
SN002051,leader; head (of tribe),LX001975,
SN002052,certificate,LX001976,
SN002053,"to recuperate, recover (from illness)",LX001977,
SN002054,seventeenth,LX001978,
SN002055,all seven; the seven,LX001979,
SN002056,groin,LX001980,
SN002057,seventeen,LX001981,
SN002058,seventh,LX001982,
SN002059,"hundred, one hundred",LX001983,
SN002060,"tough, hard, harsh; very",saxt,
SN002061,severity; punishment,LX001984,
SN002062,punishment,LX001985,
SN002063,"to punish, beat up",LX001986,
SN002064,the; that (agr: rem fem / rem non-nom masc),se_1,
SN002065,the; those (agr: rem),se_2,
SN002066,it; she (rem fem nom),se_3,
SN002067,they (rem nom),se_4,
SN002068,"Sir, lord",LX001987,
SN002069,"will, should",LX001988,
SN002070,"whole, good, healthy (fem)",LX001989,
SN002071,Tuesday,LX001990,
SN002072,thigh,LX001991,
SN002073,size,LX001992,
SN002074,praise; ability,LX001993,
SN002075,to praise,LX001994,
SN002076,to sleep,LX001995,
SN002077,dream,LX001996,
SN002078,chest,LX001997,
SN002079,sewed (masc sg),LX001998,
SN002080,bridge,LX001999,
SN002081,coin,LX002000,
SN002082,to sew,LX002001,
SN002083,needle,LX002002,
SN002084,"manner, way",LX002003,
SN002085,wet,LX002004,
SN002086,gold,LX002005,
SN002087,only,LX002006,
SN002088,"to move away, shift position",LX002007,
SN002089,"to move sth out of the way, put away sth, withdraw",LX002008,
SN002090,sitar (musical instrument),LX002009,
SN002091,"sand (fine, black)",LX002010,
SN002092,Sigeli (pass between Biori Valley and Badrugal),LX002011,
SN002093,cigarette,LX002012,
SN002094,the; that (agr: rem nom masc),so_1,
SN002095,it; he (rem masc nom),so_2,
SN002096,thinking,LX002013,
SN002097,"to think, ponder, plan",LX002014,
SN002098,summer (high) pasture,LX002015,
SN002099,river,LX002016,
SN002100,ice; hard snow,LX002017,
SN002101,"whole; good, healthy",LX002018,
SN002102,Sotmiro; descendant of Sotmirok; member of the Sotmire clan (in Ashret),LX002019,
SN002103,question; issue,LX002020,
SN002104,"to request, pray",LX002021,
SN002105,pure,LX002022,
SN002106,"mud (dry), dust",sum,
SN002107,"to make sb sleep, put to sleep",LX002023,
SN002108,last part of the winter; a (40-day) period characterized by changeable weather with increasing day temperatures (appr. 21 Feb-31 Mar),LX002024,
